PARTIDO;;PREVISION PARLAY;;;DIFERENCIA ATAQUE/DEFENSA;;;;;;;;ATAQUE;;;DEFENSA;;;;;;INJURIES;;FORMA;;
HOME;AWAY;HANDICAP;PUNTOS TOTALES;t;pts pint c;pts pint v;3pts c;3pts v;dif reb;dif asis;falt c;falt v;%2pts;%3pts;trime;%pint;%mdis;%3pts;trico;global;faltl c;h;a;3ult;h;a
Atlanta;;;;;;;;;;;;;50.00;34.10;11.37;56.67;6.83;42.22;14.07;105.72;21.30;;;51%;52%;55%
Boston;Memphis;6.65;227.80;108.35;5.40;-10.70;2.40;1.00;-0.05;-0.80;-1.30;-3.75;48.60;43.50;14.50;45.20;7.13;42.78;14.26;95.11;24.20;;;51%;53%;52%
Brooklyn;;;;;;;;;;;;;48.80;41.70;13.90;73.82;5.87;51.08;17.03;130.77;22.90;;;50%;52%;51%
Charlotte;Milwaukee;2.20;238.45;118.29;1.20;3.60;-3.80;-0.80;7.90;-0.85;-0.30;1.50;53.30;44.40;14.80;62.44;8.95;52.64;17.55;124.03;21.40;;;53%;58%;54%
Chicago;;;;;;;;;;;;;50.30;41.10;13.70;64.65;9.95;42.62;14.21;117.22;21.40;;;53%;57%;55%
Cleveland;;;;;;;;;;;;;53.00;51.00;17.00;57.32;6.83;47.79;15.93;111.93;22.60;;;54%;55%;55%
Dallas;Phoenix;2.30;226.25;108.02;4.10;13.00;4.70;-4.90;-3.20;-0.75;-0.20;2.20;57.80;28.90;9.63;62.77;8.06;37.11;12.37;107.94;20.90;;;50%;49%;51%
Denver;;;;;;;;;;;;;58.30;35.40;11.80;52.47;9.74;38.52;12.84;100.74;20.60;;;59%;57%;58%
Detroit;Chicago;4.45;234.15;108.03;-1.50;-7.30;2.60;0.50;1.30;0.05;-1.75;-1.35;56.00;32.20;10.73;47.11;7.21;44.52;14.84;98.84;24.10;;;54%;50%;55%
Golden State;;;;;;;;;;;;;54.00;46.30;15.43;59.07;7.23;43.93;14.64;110.23;21.20;;;50%;58%;53%
Houston;Washington;11.15;239.35;123.73;-2.60;5.60;3.33;-1.00;9.80;1.40;-1.00;3.55;51.30;37.70;12.57;52.25;7.58;49.76;16.59;109.59;20.30;;;55%;54%;58%
Indiana;;;;;;;;;;;;;47.10;34.60;11.53;64.87;7.91;44.79;14.93;117.56;24.50;;;44%;48%;45%
LA Clippers;Denver;-2.25;228.80;105.72;4.40;-6.60;-2.03;2.87;-2.60;-4.60;1.55;2.10;58.80;39.00;13.00;50.62;6.38;53.69;17.90;110.69;18.30;;;54%;59%;48%
LA Lakers;;;;;;;;;;;;;53.90;32.50;10.83;57.67;6.76;49.28;16.43;113.70;20.50;;;54%;57%;58%
Memphis;;;;;;;;;;;;;52.40;40.50;13.50;64.33;7.19;50.08;16.69;121.60;21.30;;;54%;51%;54%
Miami;Cleveland;3.45;242.65;115.39;-16.90;6.90;1.93;-2.07;-2.05;0.25;1.05;0.40;57.70;40.40;13.47;61.82;4.79;52.23;17.41;118.84;21.80;;;56%;57%;57%
Milwaukee;;;;;;;;;;;;;53.30;45.50;15.17;59.64;10.98;41.93;13.98;112.55;23.40;;;57%;61%;56%
Minnesota;;;;;;;;;;;;;62.30;43.10;14.37;54.49;9.26;46.05;15.35;109.80;23.10;;;61%;58%;59%
New Orleans;Portland;-5.45;234.60;117.93;9.20;-1.70;-2.40;0.07;-3.55;-2.65;1.60;2.40;49.70;36.60;12.20;63.56;6.55;53.49;17.83;123.60;20.50;;;51%;48%;51%
New York;Orlando;8.40;233.10;109.22;8.60;-13.30;-5.70;4.07;2.25;2.05;2.40;1.85;59.40;51.00;17.00;49.59;5.64;52.41;17.47;107.63;20.40;;;62%;57%;52%
Okla City;LA Lakers;7.15;232.80;104.67;0.10;-13.90;-0.97;2.23;-0.45;1.10;0.85;0.20;60.00;41.30;13.77;40.40;7.26;47.98;15.99;95.63;21.80;;;56%;57%;54%
Orlando;;;;;;;;;;;;;54.60;31.40;10.47;61.26;8.80;40.76;13.59;110.82;22.70;;;53%;51%;56%
Philadelphia;;;;;;;;;;;;;53.10;41.50;13.83;57.12;11.68;46.49;15.50;115.28;22.20;;;53%;55%;55%
Phoenix;;;;;;;;;;;;;53.70;49.40;16.47;58.31;7.13;42.67;14.22;108.10;23.30;;;58%;59%;53%
Portland;;;;;;;;;;;;;50.30;42.30;14.10;60.13;13.12;39.01;13.00;112.26;23.80;;;52%;53%;52%
Sacramento;Atlanta;-7.70;233.20;117.00;1.70;-5.70;0.00;3.50;-0.40;-2.20;0.35;0.40;49.10;34.40;11.47;68.41;10.27;49.60;16.53;128.28;20.50;;;52%;54%;55%
San Antonio;Golden State;10.95;230.05;106.14;9.50;3.70;-0.50;-0.10;4.45;-0.90;-1.35;0.35;62.10;37.50;12.50;47.41;9.57;45.08;15.03;102.06;22.10;;;58%;59%;56%
Toronto;;;;;;;;;;;;;53.40;38.50;12.83;60.06;7.68;40.97;13.66;108.72;23.80;;;52%;58%;55%
Utah;;;;;;;;;;;;;53.40;38.70;12.90;59.55;9.18;53.76;17.92;122.49;22.30;;;52%;56%;47%
Washington;;;;;;;;;;;;;54.00;40.40;13.47;72.09;10.08;55.69;18.56;137.86;23.70;;;54%;50%;56%
